treatment,baseline,pairing_index,metric,samples,mean,p5,p50,p95,std_error,ci95_low,ci95_high,t_stat,paired_win_rate,significant_95
flashbots-c1,dodo-k1000000000000000000,0,arbitrageEdge,1000,-0.6704882382868805,-24.556366052295687,0.008331126954089996,21.427387802643125,0.5566870029761044,-1.7615747147815872,0.42059823820782605,-1.2044258886993648,0.502,false
flashbots-c1,dodo-k1000000000000000000,0,netEdge,1000,0.007208005570192285,-0.3838128847851294,0.00023899880807221052,0.4470143452742832,0.009956084695628892,-0.012305561860270767,0.02672157300065534,0.7239799369481941,0.502,false
flashbots-c1,dodo-k1000000000000000000,0,retailEdge,1000,0.6776962438570728,-21.492449261666764,-0.010381834160142489,24.39141719838517,0.5567067628342967,-0.4134289612480302,1.7688214489621759,1.217330718970965,0.498,false
flashbots-c2,dodo-k500000000000000000,1,arbitrageEdge,1000,-4.139632494464446,-46.47257954511332,-1.0002457213288949,27.8038806863903,0.7842775625025497,-5.676788270852304,-2.6024767180765878,-5.278274800129818,0.441,true
flashbots-c2,dodo-k500000000000000000,1,netEdge,1000,0.005871422499031311,-0.3246956831000034,0.00040785419022881797,0.38533068777474,0.00919488970084541,-0.012150230156443967,0.023893075154506588,0.6385527929162078,0.505,false
flashbots-c2,dodo-k500000000000000000,1,retailEdge,1000,4.145503916963484,-28.320604954330463,0.9894972816412633,46.23387599999273,0.7838115372388663,2.609261533308331,5.681746300618638,5.288903926531695,0.561,true
flashbots-c5,dodo-k200000000000000000,2,arbitrageEdge,1000,-3.512428601851957,-43.37459115833883,-0.8409428263443033,26.888859623953238,0.7689547313780859,-5.019552181094677,-2.005305022609237,-4.567796332506,0.474,true
flashbots-c5,dodo-k200000000000000000,2,netEdge,1000,0.009128804569831055,-0.23632455633813265,-0.00030152873279121195,0.2919794613979434,0.006351849416097489,-0.0033205915209417944,0.021578200660603904,1.437188442581137,0.496,false
flashbots-c5,dodo-k200000000000000000,2,retailEdge,1000,3.521557406421779,-26.9269740941574,0.758144859355582,42.760599410161035,0.7685837862690534,2.0151608662330034,5.0279539466105545,4.581878344736522,0.528,true
flashbots-c10,dodo-k100000000000000000,3,arbitrageEdge,1000,-1.6752004288616544,-30.811043699152805,1.0733239061173272,21.859715087020646,0.5794225477069234,-2.8108477541976655,-0.5395531035256433,-2.891155056860135,0.567,true
