strategy,family,parameter,side,input,output,average_price,slippage_bps
dodo-k1000000000000000,dodo,K=1000000000000000,sell_x,0.01,0.999999899,99.99998989999999,-0.0010100000014112709
dodo-k1000000000000000,dodo,K=1000000000000000,sell_x,0.1,9.99998999,99.99989989999999,-0.01001000000111496
dodo-k1000000000000000,dodo,K=1000000000000000,sell_x,0.5,49.999748746,99.999497492,-0.05025079999998461
dodo-k1000000000000000,dodo,K=1000000000000000,sell_x,1,99.998989919,99.998989919,-0.10100810000079896
dodo-k1000000000000000,dodo,K=1000000000000000,sell_x,5,499.973687053,99.9947374106,-0.526258940000135
dodo-k1000000000000000,dodo,K=1000000000000000,sell_x,10,999.888914944,99.98889149440001,-1.1108505599988217
dodo-k1000000000000000,dodo,K=1000000000000000,sell_x,25,2499.167314146,99.96669256584,-3.330743415999038
flashbots-c1000,flashbots,concentration=1000,buy_x,0.01,0.000099999,100.0010000100001,-0.0999999999995449
flashbots-c1000,flashbots,concentration=1000,buy_x,0.1,0.000999999,100.00010000010002,-0.01000000000139778
flashbots-c1000,flashbots,concentration=1000,buy_x,1,0.009999999,100.000010000001,-0.0009999999994736442
flashbots-c1000,flashbots,concentration=1000,buy_x,10,0.0999999,100.00010000009999,-0.009999999999177334
flashbots-c1000,flashbots,concentration=1000,buy_x,50,0.4999975,100.00050000250002,-0.05000000000032756
flashbots-c1000,flashbots,concentration=1000,buy_x,100,0.99999,100.0010000100001,-0.0999999999995449
flashbots-c1000,flashbots,concentration=1000,buy_x,500,4.999750012,100.0050000099885,-0.49997600000128983
flashbots-c1000,flashbots,concentration=1000,buy_x,1000,9.999000099,100.01000000990199,-0.9999009999994701
flashbots-c1000,flashbots,concentration=1000,buy_x,2500,24.993751562,100.02500000043811,-2.499375200000209
flashbots-c1000,flashbots,concentration=1000,sell_x,0.0001,0.009999999,99.99999,-0.0010000000005838672
flashbots-c1000,flashbots,concentration=1000,sell_x,0.001,0.099999999,99.999999,-0.0000999999993922529
flashbots-c1000,flashbots,concentration=1000,sell_x,0.01,0.9999999,99.99999,-0.0010000000005838672
flashbots-c1000,flashbots,concentration=1000,sell_x,0.1,9.99999,99.9999,-0.010000000000287557
flashbots-c1000,flashbots,concentration=1000,sell_x,0.5,49.999750001,99.999500002,-0.04999979999920079
flashbots-c1000,flashbots,concentration=1000,sell_x,1,99.999000009,99.999000009,-0.09999910000058065
flashbots-c1000,flashbots,concentration=1000,sell_x,5,499.975001249,99.9950002498,-0.49997501999965444
flashbots-c1000,flashbots,concentration=1000,sell_x,10,999.900009999,99.99000099989999,-0.9999000100013866
flashbots-c1000,flashbots,concentration=1000,sell_x,25,2499.37515621,99.9750062484,-2.4993751599988734
univ2-zero-fee,univ2,fee=0,buy_x,0.01,0.000099999,100.0010000100001,-0.0999999999995449
univ2-zero-fee,univ2,fee=0,buy_x,0.1,0.00099999,100.0010000100001,-0.0999999999995449
univ2-zero-fee,univ2,fee=0,buy_x,1,0.009999,100.01000100010002,-1.000000000001
univ2-zero-fee,univ2,fee=0,buy_x,10,0.099900099,100.100000901901,-9.990099999999114
univ2-zero-fee,univ2,fee=0,buy_x,50,0.497512437,100.500000163815,-49.75126000000052
univ2-zero-fee,univ2,fee=0,buy_x,100,0.990099009,101.00000009191,-99.0099099999997
univ2-zero-fee,univ2,fee=0,buy_x,500,4.761904761,105.00000001995,-476.19047799999925
univ2-zero-fee,univ2,fee=0,buy_x,1000,9.09090909,110.000000011,-909.09091
univ2-zero-fee,univ2,fee=0,buy_x,2500,20,125,-1999.9999999999995
univ2-zero-fee,univ2,fee=0,sell_x,0.0001,0.00999999,99.9999,-0.010000000000287557
univ2-zero-fee,univ2,fee=0,sell_x,0.001,0.099999,99.99900000000001,-0.0999999999995449
univ2-zero-fee,univ2,fee=0,sell_x,0.01,0.999900009,99.9900009,-0.9999100000002148
univ2-zero-fee,univ2,fee=0,sell_x,0.1,9.99000999,99.9000999,-9.990009999999439
univ2-zero-fee,univ2,fee=0,sell_x,0.5,49.751243781,99.502487562,-49.75124380000029
univ2-zero-fee,univ2,fee=0,sell_x,1,99.00990099,99.00990099,-99.00990099999896
univ2-zero-fee,univ2,fee=0,sell_x,5,476.19047619,95.238095238,-476.1904762000002
univ2-zero-fee,univ2,fee=0,sell_x,10,909.09090909,90.909090909,-909.0909090999999
univ2-zero-fee,univ2,fee=0,sell_x,25,2000,80,-1999.9999999999995
univ3-full-range-zero-fee,univ3-full-range,"fee=0, range=full, marginalImpactFactor=1",buy_x,0.01,0.000099999,100.0010000100001,-0.0999999999995449
univ3-full-range-zero-fee,univ3-full-range,"fee=0, range=full, marginalImpactFactor=1",buy_x,0.1,0.00099999,100.0010000100001,-0.0999999999995449
univ3-full-range-zero-fee,univ3-full-range,"fee=0, range=full, marginalImpactFactor=1",buy_x,1,0.009999,100.01000100010002,-1.000000000001
univ3-full-range-zero-fee,univ3-full-range,"fee=0, range=full, marginalImpactFactor=1",buy_x,10,0.099900099,100.100000901901,-9.990099999999114
univ3-full-range-zero-fee,univ3-full-range,"fee=0, range=full, marginalImpactFactor=1",buy_x,50,0.497512437,100.500000163815,-49.75126000000052
univ3-full-range-zero-fee,univ3-full-range,"fee=0, range=full, marginalImpactFactor=1",buy_x,100,0.990099009,101.00000009191,-99.0099099999997
univ3-full-range-zero-fee,univ3-full-range,"fee=0, range=full, marginalImpactFactor=1",buy_x,500,4.761904761,105.00000001995,-476.19047799999925
univ3-full-range-zero-fee,univ3-full-range,"fee=0, range=full, marginalImpactFactor=1",buy_x,1000,9.09090909,110.000000011,-909.09091
univ3-full-range-zero-fee,univ3-full-range,"fee=0, range=full, marginalImpactFactor=1",buy_x,2500,19.999999999,125.00000000625,-2000.0000004000008
univ3-full-range-zero-fee,univ3-full-range,"fee=0, range=full, marginalImpactFactor=1",sell_x,0.0001,0.00999999,99.9999,-0.010000000000287557
univ3-full-range-zero-fee,univ3-full-range,"fee=0, range=full, marginalImpactFactor=1",sell_x,0.001,0.099999,99.99900000000001,-0.0999999999995449
univ3-full-range-zero-fee,univ3-full-range,"fee=0, range=full, marginalImpactFactor=1",sell_x,0.01,0.999900009,99.9900009,-0.9999100000002148
univ3-full-range-zero-fee,univ3-full-range,"fee=0, range=full, marginalImpactFactor=1",sell_x,0.1,9.99000999,99.9000999,-9.990009999999439
univ3-full-range-zero-fee,univ3-full-range,"fee=0, range=full, marginalImpactFactor=1",sell_x,0.5,49.751243781,99.502487562,-49.75124380000029
univ3-full-range-zero-fee,univ3-full-range,"fee=0, range=full, marginalImpactFactor=1",sell_x,1,99.00990099,99.00990099,-99.00990099999896
univ3-full-range-zero-fee,univ3-full-range,"fee=0, range=full, marginalImpactFactor=1",sell_x,5,476.19047619,95.238095238,-476.1904762000002
univ3-full-range-zero-fee,univ3-full-range,"fee=0, range=full, marginalImpactFactor=1",sell_x,10,909.09090909,90.909090909,-909.0909090999999
univ3-full-range-zero-fee,univ3-full-range,"fee=0, range=full, marginalImpactFactor=1",sell_x,25,1999.999999999,79.99999999996,-2000.0000000040009
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",buy_x,0.01,0.000099999,100.0010000100001,-0.0999999999995449
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",buy_x,0.1,0.000999994,100.00060000360004,-0.06000000000172534
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",buy_x,1,0.0099995,100.0050002500125,-0.49999999999994493
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",buy_x,10,0.099950024,100.050000988494,-4.997599999999602
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",buy_x,50,0.498753094,100.25000466463271,-24.93811999999984
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",buy_x,100,0.995024785,100.50000915303833,-49.75214999999977
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",buy_x,500,4.878046619,102.50004541828262,-243.90676200000016
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",buy_x,1000,9.523801287,105.00009081090354,-476.19871300000005
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",buy_x,2500,22.222177378,112.50022702433313,-1111.1290487999993
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",sell_x,0.0001,0.009999994,99.99994,-0.006000000000172534
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",sell_x,0.001,0.099999499,99.999499,-0.05009999999971981
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",sell_x,0.01,0.999950001,99.9950001,-0.49999000000022775
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",sell_x,0.1,9.995002408,99.95002407999999,-4.997592000001161
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",sell_x,0.5,49.875309461,99.750618922,-24.93810779999994
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",sell_x,1,99.502478571,99.502478571,-49.752142900000294
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",sell_x,5,487.804661968,97.5609323936,-243.90676064000027
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",sell_x,10,952.380128726,95.2380128726,-476.19871274000025
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",sell_x,25,2222.217737889,88.88870951556001,-1111.1290484439994
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",buy_x,0.01,0.000099999,100.0010000100001,-0.0999999999995449
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",buy_x,0.1,0.000999998,100.00020000040001,-0.020000000001685336
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",buy_x,1,0.0099998,100.00200004000081,-0.20000000000131024
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",buy_x,10,0.099980004,100.01999999919984,-1.9995999999999903
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",buy_x,50,0.499500508,100.09999829669843,-9.989839999999806
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",buy_x,100,0.998004029,100.19999628678855,-19.959710000000406
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",buy_x,500,4.950495972,100.9999811792595,-99.00805599999951
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",buy_x,1000,9.803925188,101.99996234406191,-196.0748120000011
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",buy_x,2500,23.809545161,104.99990584007445,-476.18193560000077
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",sell_x,0.0001,0.009999998,99.99998,-0.0020000000011677344
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",sell_x,0.001,0.0999998,99.9998,-0.020000000000575113
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",sell_x,0.01,0.99998,99.99799999999999,-0.20000000000131024
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",sell_x,0.1,9.998000437,99.98000436999999,-1.9995630000013698
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",sell_x,0.5,49.950050889,99.900101778,-9.989822199999443
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",sell_x,1,99.800402953,99.800402953,-19.959704699999968
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",sell_x,5,495.049597256,99.0099194512,-99.00805487999986
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",sell_x,10,980.392518883,98.0392518883,-196.07481116999946
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",sell_x,25,2380.954516138,95.23818064552,-476.18193544800016
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",buy_x,0.01,0.000099999,100.0010000100001,-0.0999999999995449
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",buy_x,0.1,0.000999999,100.00010000010002,-0.01000000000139778
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",buy_x,1,0.0099999,100.0010000100001,-0.0999999999995449
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",buy_x,10,0.099990002,100.0099989997,-0.9998000000011054
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",buy_x,50,0.49975016,100.04999298049249,-4.9968000000000234
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",buy_x,100,0.99900114,100.099985871888,-9.988600000000458
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",buy_x,500,4.975127894,100.4999289773032,-49.74421200000023
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",buy_x,1000,9.901004023,100.99985796157675,-98.99597700000041
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",buy_x,2500,24.390328403,102.4996448876228,-243.86863879999999
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",sell_x,0.0001,0.009999999,99.99999,-0.0010000000005838672
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",sell_x,0.001,0.0999999,99.9999,-0.010000000000287557
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",sell_x,0.01,0.999990001,99.9990001,-0.09998999999982772
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",sell_x,0.1,9.999000242,99.99000241999998,-0.9997580000020712
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",sell_x,0.5,49.975016041,99.950032082,-4.996791799999345
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",sell_x,1,99.900114076,99.900114076,-9.98859240000094
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",sell_x,5,497.512789402,99.5025578804,-49.74421196000001
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",sell_x,10,990.100402378,99.0100402378,-98.99597621999989
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",sell_x,25,2439.032840385,97.5613136154,-243.86863846000085
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",buy_x,0.01,0.000099999,100.0010000100001,-0.0999999999995449
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",buy_x,0.1,0.000999999,100.00010000010002,-0.01000000000139778
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",buy_x,1,0.009999949,100.00051000260102,-0.05100000000091143
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",buy_x,10,0.099994999,100.00500125011251,-0.5000999999993372
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",buy_x,50,0.499875021,100.02500204946229,-2.499580000000501
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",buy_x,100,0.99950021,100.0500039914949,-4.9979
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",buy_x,500,4.987530193,100.25001967942974,-24.93961400000022
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",buy_x,1000,9.950244861,100.50003934270015,-49.7551389999995
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",buy_x,2500,24.691334042,101.25009834411927,-123.46638319999937
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",sell_x,0.0001,0.009999999,99.99999,-0.0010000000005838672
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",sell_x,0.001,0.099999949,99.999949,-0.005100000000091143
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",sell_x,0.01,0.999994999,99.9994999,-0.05001000000004474
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",sell_x,0.1,9.999499985,99.99499985,-0.5000150000000758
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",sell_x,0.5,49.987502141,99.975004282,-2.4995717999998224
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",sell_x,1,99.950021057,99.950021057,-4.997894299999528
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",sell_x,5,498.753019353,99.7506038706,-24.939612939999243
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",sell_x,10,995.024486152,99.5024486152,-49.755138480001015
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",sell_x,25,2469.133404217,98.76533616868001,-123.46638313199931
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",buy_x,0.01,0.000099999,100.0010000100001,-0.0999999999995449
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",buy_x,0.1,0.000999999,100.00010000010002,-0.01000000000139778
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",buy_x,1,0.00999998,100.0002000004,-0.01999999999946489
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",buy_x,10,0.099998,100.0020000400008,-0.1999999999990898
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",buy_x,50,0.499950014,100.00999819954001,-0.9997200000000372
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",buy_x,100,0.999800076,100.01999639775983,-1.9992400000001798
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",buy_x,500,4.995005903,100.09998180376525,-9.988194000000172
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",buy_x,1000,9.980043548,100.19996357635132,-19.956452000000624
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",buy_x,2500,24.875644432,100.49990893035933,-49.74222720000032
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",sell_x,0.0001,0.009999999,99.99999,-0.0010000000005838672
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",sell_x,0.001,0.09999998,99.99998,-0.0020000000011677344
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",sell_x,0.01,0.999998,99.99980000000001,-0.01999999999946489
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",sell_x,0.1,9.99980004,99.9980004,-0.19996000000022107
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",sell_x,0.5,49.99500141,99.99000282,-0.9997179999998718
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",sell_x,1,99.98000764,99.98000764,-1.9992359999998488
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",sell_x,5,499.500590391,99.9001180782,-9.988192180000466
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",sell_x,10,998.004354854,99.8004354854,-19.95645146000036
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",sell_x,25,2487.564443278,99.50257773112,-49.7422268879999
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",buy_x,0.01,0.000099999,100.0010000100001,-0.0999999999995449
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",buy_x,0.1,0.000999999,100.00010000010002,-0.01000000000139778
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",buy_x,1,0.00999999,100.00010000009999,-0.009999999999177334
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",buy_x,10,0.099999,100.0010000100001,-0.0999999999995449
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",buy_x,50,0.499975003,100.00499964995251,-0.4999400000005316
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",buy_x,100,0.999900018,100.00999919974,-0.9998200000005397
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",buy_x,500,4.997501456,100.04999586337289,-4.997087999999428
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",buy_x,1000,9.990010818,100.09999170353251,-9.989181999999763
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",buy_x,2500,24.937661021,100.24997925405877,-24.93559160000047
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",sell_x,0.0001,0.009999999,99.99999,-0.0010000000005838672
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",sell_x,0.001,0.09999999,99.99999,-0.0010000000005838672
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",sell_x,0.01,0.999999,99.9999,-0.010000000000287557
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",sell_x,0.1,9.999900009,99.99900008999998,-0.0999910000021309
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",sell_x,0.5,49.997500332,99.995000664,-0.4999336000000021
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",sell_x,1,99.990001829,99.990001829,-0.9998171000002998
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",sell_x,5,499.750145665,99.950029133,-4.99708670000043
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",sell_x,10,999.001081828,99.9001081828,-9.989181720000406
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",sell_x,25,2493.766102161,99.75064408644,-24.935591355998987
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",buy_x,0.01,0.000099999,100.0010000100001,-0.0999999999995449
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",buy_x,0.1,0.000999999,100.00010000010002,-0.01000000000139778
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",buy_x,1,0.009999999,100.000010000001,-0.0009999999994736442
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",buy_x,10,0.0999999,100.00010000009999,-0.009999999999177334
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",buy_x,50,0.499997501,100.00049980249801,-0.049979999999782976
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",buy_x,100,0.999990005,100.0009995099901,-0.09994999999873855
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",buy_x,500,4.999750149,100.00499726971458,-0.49970200000082343
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",buy_x,1000,9.999000649,100.00999450880225,-0.9993510000017025
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",buy_x,2500,24.993754996,100.02498625757114,-2.4980016000009098
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",sell_x,0.0001,0.009999999,99.99999,-0.0010000000005838672
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",sell_x,0.001,0.099999999,99.999999,-0.0000999999993922529
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",sell_x,0.01,0.9999999,99.99999,-0.0010000000005838672
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",sell_x,0.1,9.999990005,99.99990005000001,-0.009994999998763632
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",sell_x,0.5,49.999750138,99.999500276,-0.04997239999915415
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",sell_x,1,99.999000559,99.999000559,-0.09994410000047083
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",sell_x,5,499.975014993,99.9950029986,-0.49970013999978136
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",sell_x,10,999.900064966,99.99000649659999,-0.9993503400007597
