pairing_index,metric,treatment,baseline,samples,mean,p5,p50,p95,std_error,ci95_low,ci95_high,t_stat,paired_win_rate,significant_95
0,arbitrageEdge,flashbots-c1,dodo-k1000000000000000000,1000,-53.05577518543342,-396.78940906575144,-7.251374461514558,186.39750602339723,6.531164835860221,-65.8566230408139,-40.254927330052936,-8.12347820317192,0.441,true
0,netEdge,flashbots-c1,dodo-k1000000000000000000,1000,0.025124496881920096,-1.4190641337394254,0.0024199990773468016,1.7214559564818046,0.037689595236515855,-0.04874575237354336,0.09899474613738354,0.6666162564032535,0.511,false
0,retailEdge,flashbots-c1,dodo-k1000000000000000000,1000,53.08089968231529,-187.81687666801463,7.5664656732085405,396.2697864820029,6.531738844830931,40.27892679002541,65.88287257460517,8.126610837223277,0.558,true
1,arbitrageEdge,flashbots-c2,dodo-k500000000000000000,1000,-15.570412375605407,-186.54963675481872,3.0864250206770976,111.51113481233233,3.331229768810876,-22.099502746702413,-9.0413220045084,-4.67407337716109,0.542,true
1,netEdge,flashbots-c2,dodo-k500000000000000000,1000,0.011826947951631582,-0.8013096446868531,0.00006512322522667091,0.9793408438320057,0.022265187241790826,-0.031812017151319136,0.0554659130545823,0.5311856497408157,0.501,false
1,retailEdge,flashbots-c2,dodo-k500000000000000000,1000,15.582239323557053,-114.41529951239022,-3.0980345301819625,185.55560342276704,3.331390088103281,9.052834732420905,22.1116439146932,4.677398596820813,0.458,true
2,arbitrageEdge,flashbots-c5,dodo-k200000000000000000,1000,-2.600560040057219,-69.76143173564975,2.7162675901170985,53.32633990751634,1.3714509220169768,-5.2885544537747435,0.08743437366030582,-1.8962107927512315,0.581,false
2,netEdge,flashbots-c5,dodo-k200000000000000000,1000,0.004523659177879423,-0.36398165583580067,-0.0006551454703753734,0.4293724766735636,0.010441161758378325,-0.015940641825298994,0.02498796018105784,0.43325247540097667,0.496,false
2,retailEdge,flashbots-c5,dodo-k200000000000000000,1000,2.6050836992350894,-54.95682839202857,-2.7452497551598327,69.22351820200959,1.3714004824373527,-0.08281185472297681,5.292979253193156,1.8995791036948924,0.419,false
3,arbitrageEdge,flashbots-c10,dodo-k100000000000000000,1000,-0.586813560850179,-34.48275062987159,1.7305071988232328,27.989354257288767,0.7030066652682986,-1.9646813056676495,0.7910541839672915,-0.8347197684480344,0.607,false
3,netEdge,flashbots-c10,dodo-k100000000000000000,1000,0.0018213318922224565,-0.1929022518614687,-0.00027483691341956273,0.21368083578872188,0.005619097845989137,-0.009191897511522848,0.01283456129596776,0.32413243943109254,0.496,false
3,retailEdge,flashbots-c10,dodo-k100000000000000000,1000,0.5886348927424012,-28.2058724583613,-1.7220070750188867,34.560512839729256,0.7029163580693055,-0.7890558532174983,1.9663256387023007,0.837418116657862,0.392,false
4,arbitrageEdge,flashbots-c20,dodo-k50000000000000000,1000,-0.059456775083667264,-17.25259061573766,1.0035617602571207,14.83275883589993,0.35842736839024325,-0.7619615082020142,0.6430479580346796,-0.1658823525410392,0.629,false
4,netEdge,flashbots-c20,dodo-k50000000000000000,1000,0.0010854927271284716,-0.10189904975152331,-0.00027675635413260125,0.11202850233121353,0.0029411767288234723,-0.004679107733532863,0.006850093187789806,0.36906749481956147,0.487,false
4,retailEdge,flashbots-c20,dodo-k50000000000000000,1000,0.06054226781079565,-14.975736460302812,-0.9980139180414511,16.60335758580635,0.3583842675962856,-0.6418779893036893,0.7629625249252806,0.16893115374973877,0.371,false
5,arbitrageEdge,flashbots-c50,dodo-k20000000000000000,1000,0.038660462663674976,-6.98366460284246,0.440357903078457,5.905141149361128,0.14589676837242543,-0.24729194880706132,0.32461287413441126,0.26498505138227463,0.638,false
5,netEdge,flashbots-c50,dodo-k20000000000000000,1000,0.0007022754961898929,-0.04128913517943289,0.00006421227340780433,0.0452516724691705,0.0012186542752571931,-0.0016862429929199669,0.003090793985299753,0.576271310451588,0.504,false
5,retailEdge,flashbots-c50,dodo-k20000000000000000,1000,-0.03795818716748494,-5.935900015108096,-0.4394642198824954,6.9869483021120615,0.14588139026522187,-0.3238804581019519,0.24796408376698198,-0.2601989677948262,0.36,false
6,arbitrageEdge,flashbots-c100,dodo-k10000000000000000,1000,0.03935540703760499,-3.2976217130196943,0.23219961528342026,2.9724385933348145,0.07454173649117135,-0.10674371183016595,0.18545452590537592,0.5279647200366228,0.64,false
6,netEdge,flashbots-c100,dodo-k10000000000000000,1000,0.0002790921886181406,-0.0207886999279836,0.00001824718706444628,0.023475767175700213,0.0006243160251618959,-0.0009445447356703776,0.0015027291129066586,0.44703672077897916,0.506,false
6,retailEdge,flashbots-c100,dodo-k10000000000000000,1000,-0.0390763148489868,-3.049817058331687,-0.23409871651580083,3.2911426845910405,0.0745460290296684,-0.18518384693761422,0.10703121723964062,-0.524190427815208,0.36,false
7,arbitrageEdge,flashbots-c1000,dodo-k1000000000000000,1000,0.021617383138061767,-0.38185296987822426,0.042753291051496944,0.3432917771750681,0.008044974816774237,0.005849522240652542,0.03738524403547099,2.68706660125129,0.654,true
7,netEdge,flashbots-c1000,dodo-k1000000000000000,1000,0.00041966611527671533,-0.005837561992873663,0.0002646418239424797,0.0066810131657765726,0.00012055707818675087,0.00018337858394930424,0.0006559536466041264,3.481057450866757,0.56,true
7,retailEdge,flashbots-c1000,dodo-k1000000000000000,1000,-0.021197717022785053,-0.341511293096997,-0.042673704056062745,0.365478300999289,0.008056230593102705,-0.03698763883641611,-0.005407795209153993,-2.6312202434887295,0.348,true
