strategy,family,parameter,simulations,steps,retail_orders_probed,retail_full_order_capacity_limited_count,retail_capacity_probe_revert_count,retail_capacity_limited_rate_mean,retail_capacity_shortfall_notional_y_mean,retail_capacity_shortfall_notional_y_p95,retail_notional_served_mean,quote_capacity_reject_count,quote_retail_reject_count,quote_arb_reject_count,quote_reject_count_buy_x,quote_reject_count_sell_x,quote_rejected_requested_y_mean,quote_rejected_requested_x_mean,quote_canonical_unfilled_y_mean,quote_canonical_unfilled_x_mean,fair_price_out_of_range_rate_mean,fair_price_out_of_range_rate_p95,active_liquidity_rate_mean,first_out_of_range_step_mean,seeds_that_left_range
univ3-full-range-zero-fee,univ3-full-range,"fee=0, range=full, marginalImpactFactor=1",1000,10000,8087151,0,0,0,0,0,160263.9496206256,0,0,0,0,0,0,0,0,0,0,0,1,NaN,0
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",1000,10000,8087151,2841,0,0.00042634054565371355,62.86592682307956,0,160199.98884850446,138775,11331,127444,15118,123657,240.477031579907,49.46511268267,138.85904132196305,36.967583358257734,0.0009088,0,1,7752.714285714285,7
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",1000,10000,8087151,432731,0,0.052780328785394945,8802.041783287179,47859.197492762374,151259.09463599065,17107612,1716737,15390875,5524926,11582686,55146.09218316079,1864.762694181802,35111.38354715269,1277.7941199294487,0.11437270000000002,0.6179,1,4789.2464788732395,426
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",1000,10000,8087151,1136737,0,0.14127349402670442,22989.414610067695,76099.46141028656,136865.5887916004,45956312,4523598,41432714,16841276,29115036,168666.61000344154,3858.406678476132,105272.09115653047,2631.416058637273,0.30691239999999986,0.8605,1,2684.3176638176637,702
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",1000,10000,8087151,1879786,0,0.23377769008504262,37931.25252947296,93220.23351720182,121639.19884151497,75068857,7468703,67600154,30170989,44897868,327394.17268115445,5754.389253160019,190999.30654913536,3790.094136487893,0.5087180000000003,0.9419,1,1458.2563805104407,862
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",1000,10000,8087151,2674567,0,0.33301369527537156,53862.49132353342,106667.22997942378,105337.96092843518,95333325,10596730,84736595,45297238,50036087,622048.4687784902,8629.116489303744,311137.378519777,5061.2145867128165,0.7259154000000005,0.9812,1,556.4171907756813,954
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",1000,10000,8087151,3069359,0,0.38250611802933754,61751.04937728134,112918.94519772466,97134.6892969898,99941411,12117210,87824201,53070685,46870726,961133.377663867,11799.904071185962,408647.2197360466,5982.036330072495,0.8354102000000011,0.9907,1,299.900406504065,984
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",1000,10000,8087151,3404565,0,0.42363280856797736,69240.53580143454,118639.99433374204,86310.3053162763,92455774,12673742,79782032,63029624,29426150,3126410.7485907883,32508.256197340364,844898.9540581884,9644.860893999554,0.9794099,0.9991,1,7.598,1000
